Topic,Count,Name,Representation,Representative_Docs
15,31,15_room_locker_dirty_overall,"['room', 'locker', 'dirty', 'overall', 'broken', 'frustrate', 'break', 'unhelpful', 'find', 'today']","['locker room dirty', 'locker room dirty', 'locker room dirty']"
16,29,16_weight_think_improve_could,"['weight', 'think', 'improve', 'could', '', '', '', '', '', '']","['think weight could improve', 'think weight could improve', 'think weight could improve']"
17,28,17_dirty_staff_found_overall,"['dirty', 'staff', 'found', 'overall', 'frustrating', 'break', 'today', 'crowd', 'broken', 'unhelpful']","['staff dirty', 'staff dirty', 'staff dirty']"
18,27,18_broken_break_crowd_overall,"['broken', 'break', 'crowd', 'overall', 'frustrating', 'find', 'today', 'unhelpful', 'music', '']","['overall crowd broken crowd', 'overall crowd crowd broken', 'overall crowd break broken']"
19,27,19_staff_found_crowd_broken,"['staff', 'found', 'crowd', 'broken', 'overall', 'unhelpful', 'today', 'frustrating', '', '']","['found staff crowd today', 'found staff crowd today', 'found staff crowd today']"
20,26,20_ac_crowd_find_today,"['ac', 'crowd', 'find', 'today', 'broken', 'frustrating', 'overall', 'unhelpful', '', '']","['ac crowd', 'ac crowd', 'ac crowd']"
21,26,21_dirty_crowd_overall_frustrating,"['dirty', 'crowd', 'overall', 'frustrating', 'class', 'weight', 'find', 'today', 'unhelpful', '']","['overall crowd dirty dirty', 'overall crowd dirty dirty', 'overall crowd dirty dirty']"
22,22,22_treadmill_crowd_find_today,"['treadmill', 'crowd', 'find', 'today', 'overall', 'dirty', '', '', '', '']","['treadmill crowd', 'treadmill crowd', 'treadmill crowd']"
23,22,23_treadmill_dirty_overall_break,"['treadmill', 'dirty', 'overall', 'break', 'find', 'frustrate', 'today', 'broken', 'unhelpful', 'frustrating']","['treadmill dirty', 'treadmill dirty', 'treadmill dirty']"
24,22,24_average_class_find_today,"['average', 'class', 'find', 'today', 'overall', '', '', '', '', '']","['find class average today', 'find class average today', 'find class average today']"
25,21,25_music_dirty_broken_overall,"['music', 'dirty', 'broken', 'overall', 'unhelpful', 'frustrating', 'find', 'today', '', '']","['music dirty', 'music dirty', 'music dirty']"
26,20,26_dirty_weight_frustrate_find,"['dirty', 'weight', 'frustrate', 'find', 'overall', 'today', 'broken', 'frustrating', 'break', '']","['weight dirty', 'weight dirty', 'weight dirty']"
27,19,27_break_room_locker_broken,"['break', 'room', 'locker', 'broken', 'unhelpful', 'overall', 'find', 'today', 'frustrate', '']","['locker room break', 'locker room break', 'locker room break']"
28,19,28_class_crowd_frustrating_overall,"['class', 'crowd', 'frustrating', 'overall', 'find', 'unhelpful', 'today', 'broken', 'break', '']","['class crowd', 'class crowd', 'class crowd']"
29,18,29_average_found_staff_today,"['average', 'found', 'staff', 'today', 'overall', '', '', '', '', '']","['staff average', 'staff average', 'staff average']"
30,18,30_broken_music_frustrating_overall,"['broken', 'music', 'frustrating', 'overall', 'unhelpful', 'break', '', '', '', '']","['music broken', 'music broken', 'music broken']"
31,17,31_class_dirty_frustrate_find,"['class', 'dirty', 'frustrate', 'find', 'today', 'overall', 'unhelpful', '', '', '']","['class dirty', 'class dirty', 'class dirty']"
32,16,32_help_weight_staff_think,"['help', 'weight', 'staff', 'think', 'improve', 'could', '', '', '', '']","['think weight could improve staff help', 'think weight could improve staff help', 'think weight could improve staff help']"
33,16,33_work_equipment_ac_think,"['work', 'equipment', 'ac', 'think', 'improve', 'could', '', '', '', '']","['think ac could improve equipment work', 'think ac could improve equipment work', 'think ac could improve equipment work']"
34,16,34_break_weight_frustrating_find,"['break', 'weight', 'frustrating', 'find', 'today', 'overall', 'broken', '', '', '']","['weight break', 'weight break', 'weight break']"
35,15,35_weight_crowd_find_today,"['weight', 'crowd', 'find', 'today', 'break', 'overall', 'unhelpful', '', '', '']","['weight crowd', 'weight crowd', 'weight crowd']"
36,15,36_satisfactory_music_overall_ok,"['satisfactory', 'music', 'overall', 'ok', 'decent', '', '', '', '', '']","['music satisfactory', 'music satisfactory', 'music satisfactory']"
37,14,37_satisfactory_room_locker_ok,"['satisfactory', 'room', 'locker', 'ok', 'overall', 'decent', '', '', '', '']","['locker room satisfactory', 'locker room satisfactory', 'locker room satisfactory']"
38,14,38_satisfactory_staff_decent_ok,"['satisfactory', 'staff', 'decent', 'ok', 'overall', '', '', '', '', '']","['staff satisfactory', 'staff satisfactory', 'staff satisfactory']"
39,13,39_work_equipment_music_think,"['work', 'equipment', 'music', 'think', 'improve', 'could', '', '', '', '']","['think music could improve equipment work', 'think music could improve equipment work', 'think music could improve equipment work']"
40,13,40_work_equipment_weight_think,"['work', 'equipment', 'weight', 'think', 'improve', 'could', '', '', '', '']","['think weight could improve equipment work', 'think weight could improve equipment work', 'think weight could improve equipment work']"
41,12,41_class_unhelpful_frustrating_overall,"['class', 'unhelpful', 'frustrating', 'overall', '', '', '', '', '', '']","['class unhelpful', 'class unhelpful', 'class unhelpful']"
42,11,42_ok_class_overall_,"['ok', 'class', 'overall', '', '', '', '', '', '', '']","['class ok', 'class ok', 'class ok']"
43,11,43_treadmill_break_broken_frustrate,"['treadmill', 'break', 'broken', 'frustrate', 'overall', 'unhelpful', '', '', '', '']","['treadmill break', 'overall treadmill break broken', 'overall treadmill break broken']"
